LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
2301,M ST SE,,AUBURN,KING,,98002,51,db509fed6edd3420,POINT(-122.2142628 47.2883597)
5000,AUBURN WAY S,,AUBURN,KING,,98092,53,c8973bd6d2576711,POINT(-122.1639661 47.2808776)
15027,BEL RED RD,,BELLEVUE,KING,,98007,69,cbd4d6010e6552a7,POINT(-122.1407828 47.6258677)
17900,NE  16TH ST,,BELLEVUE,KING,,98008,70,ef45aca05c61057d,POINT(-122.1019715 47.6247441)
1031,14TH ST NE,,AUBURN,KING,,98002,32,c5430d9867dc51d6,POINT(-122.2173562 47.3208227)
1015,24TH ST NE,,AUBURN,KING,,98002,31,e234f894e886f977,POINT(-122.2143304 47.3289867)
11815,SE  304TH ST,,AUBURN,KING,,98092,19,cd1f6ec3ce8022e9,POINT(-122.1836262 47.3290943)
1050,160TH AVE SE,,BELLEVUE,KING,,98008,84,3dca841d475532ae,POINT(-122.1254294 47.6004989)
2812,116TH AVE NE,,BELLEVUE,KING,,98004,103,9870c1b3a90febdf,POINT(-122.1833956 47.6356372)
17810,8TH AVE S,,BURIEN,KING,,98148,142,59eb1501f7c29bf1,POINT(-122.3244767 47.443055)
14310,SE  12TH ST,,BELLEVUE,KING,,98007,85,3bc0b489f39e3a9e,POINT(-122.1490136 47.601154)
14200,SE  13TH PL,,BELLEVUE,KING,,98007,86,2a46227f30dad43a,POINT(-122.1518287 47.5995996)
4800,139TH AVE SE,,BELLEVUE,KING,,98006,101,f6a5eb9c8ab9e161,POINT(-122.1553699 47.558992)
12624,23RD AVE S,,BURIEN,KING,,98168,502795,6425ffc25cac6f54,POINT(-122.3031401 47.4897327)
11644,24TH AVE S,,BURIEN,KING,,98168,502799,84f98467028466db,POINT(-122.3018283 47.4979989)
12460,24TH AVE S,,BURIEN,KING,,98168,502802,5309d614b1712263,POINT(-122.3018905 47.4905441)
8106,24TH AVE SW,,SEATTLE,KING,,98106,502803,1180e8aa1e0a9e03,POINT(-122.3627606 47.5298016)
8415,24TH AVE SW,,SEATTLE,KING,,98106,502804,a4761f1486ea5508,POINT(-122.3634746 47.5277837)
8614,24TH AVE SW,,SEATTLE,KING,,98106,502805,21d93f101b6ebf8f,POINT(-122.3627423 47.5259958)
8815,24TH AVE SW,,SEATTLE,KING,,98106,502806,c26e523d657a7966,POINT(-122.3635021 47.5241907)
9007,24TH AVE SW,,SEATTLE,KING,,98106,502807,43b5d79088373477,POINT(-122.3637469 47.5225438)
9215,24TH AVE SW,,SEATTLE,KING,,98106,502808,6e925e78061588ac,POINT(-122.3634518 47.5205604)
9402,24TH AVE SW,,SEATTLE,KING,,98106,502809,731232aeeb28f46e,POINT(-122.3629397 47.5190322)
9451,24TH AVE SW,,SEATTLE,KING,,98106,502810,a1acc668958fa491,POINT(-122.3634979 47.5177692)
11840,25TH AVE S,,BURIEN,KING,,98168,502818,6c48eaa5cc37547b,POINT(-122.3005714 47.4962922)
9247,25TH AVE SW,,SEATTLE,KING,,98106,502822,f147e0e5d3af2b63,POINT(-122.3648932 47.5196639)
9432,25TH AVE SW,,SEATTLE,KING,,98106,502823,cc0077084efa9334,POINT(-122.3642792 47.518128)
9622,25TH AVE SW,,,KING,,98106,502824,f9c468fe46b98d4e,POINT(-122.364303 47.5166788)
9816,25TH AVE SW,,,KING,,98106,502825,6af4d2028f9d4e7a,POINT(-122.3642478 47.5150172)
10005,25TH AVE SW,,,KING,,98146,502826,12f81671ad82f458,POINT(-122.3648379 47.5133077)
10712,25TH AVE SW,,,KING,,98146,502827,a79a8cb9bfb3a8db,POINT(-122.3637308 47.5075954)
10833,25TH AVE SW,,,KING,,98146,502828,d3d417c0d525a433,POINT(-122.3645486 47.5059504)
10803,26TH AVE S,,BURIEN,KING,,98168,502829,1a2222ff0b80a8c2,POINT(-122.3011871 47.506357)
10871,26TH AVE S,,BURIEN,KING,,98168,502830,8e228356c0223560,POINT(-122.300802 47.5046918)
11311,26TH AVE S,,BURIEN,KING,,98168,502831,13afba3965a17e12,POINT(-122.2992145 47.5007436)
11825,26TH AVE S,,BURIEN,KING,,98168,502832,59c90a079ee7f89d,POINT(-122.2998698 47.4967131)
12036,26TH AVE S,,BURIEN,KING,,98168,502833,43d42149ff250ac0,POINT(-122.2990114 47.4947908)
8614,26TH AVE SW,,SEATTLE,KING,,98106,502834,842ba5e2b4853cca,POINT(-122.3655805 47.5259827)
9241,26TH AVE SW,,SEATTLE,KING,,98106,502835,0462bc887b49201e,POINT(-122.366182 47.5196796)
9431,26TH AVE SW,,SEATTLE,KING,,98106,502836,86c00ae8a977f3c8,POINT(-122.3661614 47.5182076)
9705,26TH AVE SW,,,KING,,98106,502837,53600a81d4b26b2d,POINT(-122.3661787 47.5159753)
9845,26TH AVE SW,,,KING,,98106,502838,ae05b222725992d8,POINT(-122.3662781 47.514233)
10206,26TH AVE SW,,,KING,,98146,502839,2bebb3efcb148898,POINT(-122.3651984 47.5115313)
10267,26TH AVE SW,,,KING,,98146,502840,b82799810a4dfc12,POINT(-122.3661843 47.510355)
9254,23RD AVE SW,,SEATTLE,KING,,98106,502796,212573e9124f0470,POINT(-122.3623643 47.5195041)
11304,23RD AVE SW,,BURIEN,KING,,98146,502797,b147122dbc1d0963,POINT(-122.3628845 47.5015574)
10214,23RD CT SW,,,KING,,98146,502798,99ab8090359a52f3,POINT(-122.3619988 47.51135)
10704,26TH AVE SW,,,KING,,98146,502841,6851b9a7bedd069e,POINT(-122.36541 47.5079597)
11240,26TH AVE SW,,BURIEN,KING,,98146,502845,622392769126cef3,POINT(-122.3654293 47.5014992)
7933,27TH AVE SW,,SEATTLE,KING,,98126,502847,44eaec7783113821,POINT(-122.3675173 47.5308945)
9420,27TH AVE SW,,SEATTLE,KING,,98126,502848,b7b97b37f2222371,POINT(-122.3669055 47.5185577)
10739,27TH AVE SW,,,KING,,98146,502849,31ab9cc96769b2b0,POINT(-122.3673628 47.5061789)
11502,27TH AVE SW,,BURIEN,KING,,98146,502850,eab6c66f026bd99a,POINT(-122.366531 47.5002946)
7932,28TH AVE SW,,SEATTLE,KING,,98126,502853,cc65ebefdcd71ecf,POINT(-122.3682664 47.5309082)
8131,28TH AVE SW,,SEATTLE,KING,,98126,502854,9bdd8739e0eb2d68,POINT(-122.3688388 47.5291312)
9810,28TH AVE SW,,,KING,,98126,502856,a4d1d4fc8a44fb13,POINT(-122.3682497 47.5152758)
10208,28TH AVE SW,,,KING,,98146,502858,8bfb070766e9e38f,POINT(-122.3681339 47.5119352)
10446,28TH AVE SW,,,KING,,98146,502859,1bad1adf48a41643,POINT(-122.3679016 47.5086842)
10717,28TH AVE SW,,,KING,,98146,502860,b80195947a21be3b,POINT(-122.3690725 47.5067391)
10902,28TH AVE SW,,,KING,,98146,502861,729bef7a88917254,POINT(-122.3680176 47.5052924)
11105,28TH AVE SW,,,KING,,98146,502862,51b618bca3c619bd,POINT(-122.3686151 47.5032903)
11257,28TH AVE SW,,BURIEN,KING,,98146,502863,a000d148041aec6f,POINT(-122.368773 47.5011351)
7932,29TH AVE SW,,SEATTLE,KING,,98126,502864,3387eaf6cfbe9c03,POINT(-122.3696338 47.5309224)
8111,29TH AVE SW,,SEATTLE,KING,,98126,502865,89f0da4e35d7cbe2,POINT(-122.3702658 47.5297753)
8605,29TH AVE SW,,SEATTLE,KING,,98126,502866,dd672e2bbb30b24f,POINT(-122.3701396 47.5262946)
8839,29TH AVE SW,,SEATTLE,KING,,98126,502867,194415b64d175406,POINT(-122.3701992 47.5235345)
9215,29TH AVE SW,,SEATTLE,KING,,98126,502868,a7979a61391833a0,POINT(-122.3704087 47.5205492)
11203,29TH AVE SW,,BURIEN,KING,,98146,502869,f5f3ed3cd21c69ee,POINT(-122.3705147 47.5026059)
11259,29TH AVE SW,,BURIEN,KING,,98146,502870,98af476e0271f012,POINT(-122.3704206 47.5010838)
11526,29TH AVE SW,,BURIEN,KING,,98146,502871,728f420352fdada8,POINT(-122.3694386 47.4995791)
8815,2ND AVE S,,SEATTLE,KING,,98108,502873,1fb4748ecf615d99,POINT(-122.3325145 47.5240911)
9008,2ND AVE S,,SEATTLE,KING,,98108,502874,2fccf91b195f9656,POINT(-122.3315061 47.5225375)
10019,2ND AVE S,,,KING,,98168,502875,99d106e685e29bbf,POINT(-122.3318819 47.5132066)
10222,2ND AVE S,,,KING,,98168,502876,7a8af4a5e73ea9a9,POINT(-122.3312383 47.5114763)
10423,2ND AVE S,,,KING,,98168,502877,dc1989e13a93f505,POINT(-122.331431 47.5097084)
10804,2ND AVE S,,,KING,,98168,502878,c09bc08270fc3bc0,POINT(-122.3307924 47.5056209)
11023,2ND AVE S,,,KING,,98168,502879,630bd97bfad34ecf,POINT(-122.3314136 47.5043987)
11006,2ND AVE SW,,,KING,,98146,502887,2949d054f01b8877,POINT(-122.3360529 47.5046293)
12233,2ND AVE SW,,BURIEN,KING,,98146,502888,28ba6ca6765ae64c,POINT(-122.337275 47.4936341)
12709,2ND AVE SW,,BURIEN,KING,,98146,502890,8442f0f69791f86f,POINT(-122.3371391 47.4896117)
10813,26TH AVE SW,,,KING,,98146,502842,b114182c11c385a1,POINT(-122.3662022 47.5065666)
10928,26TH AVE SW,,,KING,,98146,502843,685a80ba4d4db97e,POINT(-122.3652087 47.5048061)
11050,26TH AVE SW,,,KING,,98146,502844,1fc2e280cec3829a,POINT(-122.3654437 47.5031576)
10618,2ND PL SW,,,KING,,98146,502892,ce6dd4c2f6d323e1,POINT(-122.3355517 47.5079962)
12202,2ND PL SW,,BURIEN,KING,,98146,502893,5148025043aa0cd0,POINT(-122.3355998 47.4944766)
12246,2ND PL SW,,BURIEN,KING,,98146,502894,2d925194bc5329d4,POINT(-122.3356601 47.4932796)
12425,2ND PL SW,,BURIEN,KING,,98146,502895,00203df735207616,POINT(-122.3362353 47.4917256)
7930,30TH AVE SW,,SEATTLE,KING,,98126,502896,709315781925cbca,POINT(-122.3709388 47.5309239)
8114,30TH AVE SW,,SEATTLE,KING,,98126,502897,668b261af7c0c3c3,POINT(-122.3708891 47.529602)
8415,30TH AVE SW,,SEATTLE,KING,,98126,502898,3a190dc23f5f8cf0,POINT(-122.3715357 47.5277913)
8626,30TH AVE SW,,SEATTLE,KING,,98126,502899,5114db73c5e56755,POINT(-122.3709277 47.52566)
8821,30TH AVE SW,,SEATTLE,KING,,98126,502900,387940f19173e33c,POINT(-122.3715637 47.5240151)
9014,30TH AVE SW,,SEATTLE,KING,,98126,502901,6092135a04bb1acb,POINT(-122.3710071 47.5223766)
9202,30TH AVE SW,,SEATTLE,KING,,98126,502902,49dcb73f706bd653,POINT(-122.3710349 47.5208796)
9251,30TH AVE SW,,SEATTLE,KING,,98126,502903,9e56cdbb1d0c03a9,POINT(-122.371628 47.5196202)
7941,31ST AVE SW,,SEATTLE,KING,,98126,502909,cb8a609ec80752d3,POINT(-122.3728925 47.5306893)
8126,31ST AVE SW,,SEATTLE,KING,,98126,502910,69a815e93e612696,POINT(-122.3722518 47.5292742)
8433,31ST AVE SW,,SEATTLE,KING,,98126,502911,04415a8ae76b3da3,POINT(-122.3729244 47.5272988)
8638,31ST AVE SW,,SEATTLE,KING,,98126,502912,6c450522665d311b,POINT(-122.3723047 47.5255266)
